ID,Name,Lot
00281,RIVERA (HOLD),2000
00282,NEXT DIGITAL,2000
00283,GOLDIN PPT,2000
00285,BYD ELECTRONIC,500
00286,CS HEALTH,2000
00287,WINFAIR INV,2000
00288,WH GROUP,500
00289,WING ON CO,1000
00290,C FORTUNE FIN,2000
00291,CHINA RES BEER,2000
00292,ASIA STD HOTEL,10000
00293,CATHAY PAC AIR,1000
00294,YANGTZEKIANG,1000
00295,KONG SUN HOLD,25000
00296,EMPEROR E HOTEL,5000
00297,SINOFERT,2000
00298,CHUANG'S CHINA,10000
00299,NEW SPORTS,10000
00300,KUNMING MACHINE,2000
00303,VTECH HOLDINGS,100
00305,WULING MOTORS,10000
00306,KWOON CHUNG BUS,2000
00307,UP ENERGY DEV,2000
00308,CHINA TRAVEL HK,2000
00309,XH NEWS MEDIA,1000
00311,LUEN THAI,1000
00312,SHIRBLE STORE,2000
00313,RICHLY FIELD,50000
00315,SMARTONE TELE,500
00316,OOIL,500
00317,COMEC,2000
00318,VONGROUP,5000
00319,CHINA METAL,2000
00320,COMPUTIME,2000
00321,TEXWINCA HOLD,2000
00322,TINGYI,2000
00323,MAANSHAN IRON,2000
00326,CHINA STAR ENT,10000
00327,PAX GLOBAL,1000
00328,ALCO HOLDINGS,2000
00329,DRAGONITE INT'L,4000
00330,ESPRIT HOLDINGS,100
00331,FSE ENGINEERING,1000
00332,YUANHENG GAS,4000
00333,TOP FORM INT'L,2000
00334,CH DISPLAY OPT,8000
00335,UPBEST GROUP,2000
00336,HUABAO INTL,1000
00337,GREENLAND HK,1000
00338,SHANGHAI PECHEM,2000
00340,CHINA MINING,2000
00341,CAFE DE CORAL H,2000
00342,NEWOCEAN ENERGY,2000
00343,CULTURECOM HOLD,5000
00345,VITASOY INT'L,2000
00346,YANCHANG PETRO,10000
00347,ANGANG STEEL,2000
00348,CHINAHEALTHWISE,2000
00351,ASIA ENERGY LOG,10000
00352,FORTUNE SUN,2000
00353,ENERGY INTINV,20000
00354,CHINASOFT INT'L,2000
00355,CENTURY C INT'L,4000
00357,HNA INFRA,1000
00358,JIANGXI COPPER,1000
00359,HAISHENG JUICE,4000
00360,NEW FOCUS AUTO,4000
00361,SINO GOLF HOLD,20000
00362,C ZENITH-NEW,10000
00363,SHANGHAI IND H,1000
00364,PING SHAN TEA,4000
00365,UNIS HOLDINGS,2000
00366,LUKS GROUP (VN),2000
00367,CHUANG'S INT'L,4000
00368,SINOTRANS SHIP,500
00369,WING TAI PPT,2000
00370,CHINA BEST,20000
00371,BJ ENT WATER,2000
00372,ITC CORPORATION,2000
00373,ALLIED GROUP,2000
00374,FOUR SEAS MER,2000
00375,YGM TRADING,1000
00376,YUNFENG FIN,2000
00377,HUAJUN HOLD,4000
00378,FDG KINETIC,2000
00379,EG LEASING,10000
00380,SOFTPOWER INT,4000
00381,KIU HUNG INT'L,10000
00382,WELLING HOLDING,2000
00383,CHINA MED&HCARE,10000
00384,CHINA GAS HOLD,2000
00385,CHINNEY ALLI,2000
00386,SINOPEC CORP,2000
00387,LEEPORT(HOLD),4000
00388,HKEX,100
00389,TONTINE WINES,2000
00390,CHINA RAILWAY,1000
00391,MEI AH ENTER,20000
00392,BEIJING ENT,500
00393,GLORIOUS SUN,4000
00395,SMARTAC GP CH,8000
00396,HING LEE (HK),2000
00397,JUN YANG FIN,10000
00398,ORIENTAL WATCH,2000
00399,INNOVATIVE PHAR,5000
00400,COGOBUY,1000
00401,WANJIA GROUP,5000
00402,PEACEMAP HOLD,20000
00403,STARLITE HOLD,2000
00404,HSIN CHONG GP,2000
00405,Yuexiu Real Estate,1000
00406,YAU LEE HOLD,2000
00408,YIP'S CHEMICAL,2000
00410,SOHO CHINA,500
00411,LAM SOON (HK),1000
00412,CHINA INNO FIN,6000
00413,SC HOLDINGS,8000
00416,BANKOFJINZHOU,1000
00417,TSE SUI LUEN,2000
00418,FOUNDER HOLD,2000
00419,HUAYI TENCENT,10000
00420,FOUNTAIN SET,2000
00422,VMEP HOLDINGS,1000
00423,HKET HOLDINGS,2000
00425,MINTH GROUP,2000
00426,ONE MEDIA GROUP,2000
00430,ORIENTAL EXPL,2000
00431,G CHINA FIN,4000
00432,PCPD,1000
00433,NORTH MINING,10000
00434,BOYAA,1000
00436,NU ENVIRO,20000
00438,IRICO NEWENERGY,2000
00439,KUANGCHI,1000
00440,DAH SING,400
00442,KTL INT'L,1000
00444,SINCEREWATCH HK,10000
00445,CHINA FIRE,5000
00449,CHIGO HOLDING,2000
00450,HUNG HING PRINT,2000
